Year,Country,TotalVaccines,Scenario,
2022,Country A,1.964075,Scenario 3 - Increased PCP Progression by 1 Stage ,
2023,Country A,1.965141,Scenario 3 - Increased PCP Progression by 1 Stage ,
2024,Country A,1.966416,Scenario 3 - Increased PCP Progression by 1 Stage ,
2025,Country A,1.967263,Scenario 3 - Increased PCP Progression by 1 Stage ,
2026,Country A,1.968177,Scenario 3 - Increased PCP Progression by 1 Stage ,
2027,Country A,1.968884,Scenario 3 - Increased PCP Progression by 1 Stage ,
2028,Country A,1.969643,Scenario 3 - Increased PCP Progression by 1 Stage ,
2029,Country A,1.970699,Scenario 3 - Increased PCP Progression by 1 Stage ,
2030,Country A,1.972038,Scenario 3 - Increased PCP Progression by 1 Stage ,
2022,Country B,33.265389,Scenario 3 - Increased PCP Progression by 1 Stage ,
2023,Country B,32.838231,Scenario 3 - Increased PCP Progression by 1 Stage ,
2024,Country B,32.41511,Scenario 3 - Increased PCP Progression by 1 Stage ,
2025,Country B,32.002681,Scenario 3 - Increased PCP Progression by 1 Stage ,
2026,Country B,31.609157,Scenario 3 - Increased PCP Progression by 1 Stage ,
2027,Country B,31.225885,Scenario 3 - Increased PCP Progression by 1 Stage ,
2028,Country B,30.848858,Scenario 3 - Increased PCP Progression by 1 Stage ,
2029,Country B,30.487869,Scenario 3 - Increased PCP Progression by 1 Stage ,
2030,Country B,30.136951,Scenario 3 - Increased PCP Progression by 1 Stage ,
2022,Country C,1.659341,Scenario 3 - Increased PCP Progression by 1 Stage ,
2023,Country C,1.668702,Scenario 3 - Increased PCP Progression by 1 Stage ,
2024,Country C,1.678351,Scenario 3 - Increased PCP Progression by 1 Stage ,
2025,Country C,1.688211,Scenario 3 - Increased PCP Progression by 1 Stage ,
2026,Country C,1.697559,Scenario 3 - Increased PCP Progression by 1 Stage ,
2027,Country C,1.707412,Scenario 3 - Increased PCP Progression by 1 Stage ,
2028,Country C,1.717465,Scenario 3 - Increased PCP Progression by 1 Stage ,
2029,Country C,1.727594,Scenario 3 - Increased PCP Progression by 1 Stage ,
2030,Country C,1.737848,Scenario 3 - Increased PCP Progression by 1 Stage ,
2022,Country E,39.49618,Scenario 3 - Increased PCP Progression by 1 Stage ,
2023,Country E,41.512693,Scenario 3 - Increased PCP Progression by 1 Stage ,
2024,Country E,43.630542,Scenario 3 - Increased PCP Progression by 1 Stage ,
2025,Country E,45.854731,Scenario 3 - Increased PCP Progression by 1 Stage ,
2026,Country E,48.195732,Scenario 3 - Increased PCP Progression by 1 Stage ,
2027,Country E,50.649186,Scenario 3 - Increased PCP Progression by 1 Stage ,
2028,Country E,53.236594,Scenario 3 - Increased PCP Progression by 1 Stage ,
2029,Country E,55.946435,Scenario 3 - Increased PCP Progression by 1 Stage ,
2030,Country E,58.797457,Scenario 3 - Increased PCP Progression by 1 Stage ,
2022,Country F,8.161803,Scenario 3 - Increased PCP Progression by 1 Stage ,
2023,Country F,8.439552,Scenario 3 - Increased PCP Progression by 1 Stage ,
2024,Country F,8.72116,Scenario 3 - Increased PCP Progression by 1 Stage ,
2025,Country F,9.005284,Scenario 3 - Increased PCP Progression by 1 Stage ,
2026,Country F,9.299265,Scenario 3 - Increased PCP Progression by 1 Stage ,
2027,Country F,9.617767,Scenario 3 - Increased PCP Progression by 1 Stage ,
2028,Country F,9.949576,Scenario 3 - Increased PCP Progression by 1 Stage ,
2029,Country F,10.286478,Scenario 3 - Increased PCP Progression by 1 Stage ,
2030,Country F,10.630563,Scenario 3 - Increased PCP Progression by 1 Stage ,
