"Country_code","Year","Species","Pop"
"IRQ",1996,"LR",1100000
"JOR",1996,"LR",51718
"KEN",1996,"LR",11511700
"KGZ",1996,"LR",869000
"KWT",1996,"LR",19476
"LBN",1996,"LR",69875
"LBR",1996,"LR",36000
"LKA",1996,"LR",2404900
"MLI",1996,"LR",5406641
"MOZ",1996,"LR",920000
"MRT",1996,"LR",1122000
"MWI",1996,"LR",700096
"NAM",1996,"LR",1989947
"NER",1996,"LR",4342220
"NGA",1996,"LR",15050000
"NPL",1996,"LR",10310620
"OMN",1996,"LR",246000
"PAK",1996,"LR",40697000
"PSE",1996,"LR",19312
"QAT",1996,"LR",13651
"RWA",1996,"LR",500000
"SAU",1996,"LR",259081
"SEN",1996,"LR",2870000
"SLE",1996,"LR",300000
"SOM",1996,"LR",5400000
"STP",1996,"LR",3850
"SYR",1996,"LR",811591
"TCD",1996,"LR",9318000
"TGO",1996,"LR",217221
"TJK",1996,"LR",1154670
"TKM",1996,"LR",1199000
"TUR",1996,"LR",11682680
"TUR2",1996,"LR",361320
"TZA",1996,"LR",13604500
"UGA",1996,"LR",5301000
"UZB",1996,"LR",5203500
"YEM",1996,"LR",1180934
"ZMB",1996,"LR",2200000
"ZWE",1996,"LR",5436214
"AFG",1997,"LR",2895000
"AGO",1997,"LR",3556000
"AllAF",1997,"LR",149815617
"AllAS",1997,"LR",412463705
"AllCA",1997,"LR",17592800
"AllEA",1997,"LR",58241760
"AllME",1997,"LR",10568055
"AllSAARC",1997,"LR",324793181
"AllSADC",1997,"LR",32252296
"AllWA",1997,"LR",41728761
"AllWE",1997,"LR",77102469
"ARE",1997,"LR",79208
"ARM",1997,"LR",510202
"AZE",1997,"LR",1779900
"BDI",1997,"LR",393110
"BEN",1997,"LR",1345000
"BFA",1997,"LR",4521500
"BGD",1997,"LR",22944000
"BHR",1997,"LR",12030
"BTN",1997,"LR",356761
"BWA",1997,"LR",2212000
"CAF",1997,"LR",2926000
"CIV",1997,"LR",1316000
"CMR",1997,"LR",4737000
"COD",1997,"LR",1102289
"COG",1997,"LR",75000
"COM",1997,"LR",48200
"CPV",1997,"LR",21250
"DJI",1997,"LR",270000
"EGY",1997,"LR",6388921
"ERI",1997,"LR",1927800
"ETH",1997,"LR",32612350
"GAB",1997,"LR",33000
"GEO",1997,"LR",1027200
"GHA",1997,"LR",1260300
"GIN",1997,"LR",2436910
"GMB",1997,"LR",356042
"GNB",1997,"LR",475480
"GNQ",1997,"LR",4900
"IND",1997,"LR",288800000
"IRN",1997,"LR",9103000
"IRQ",1997,"LR",1362625
"JOR",1997,"LR",56215
"KEN",1997,"LR",11408500
"KGZ",1997,"LR",847600
"KWT",1997,"LR",21023
"LBN",1997,"LR",68502
"LBR",1997,"LR",36000
"LKA",1997,"LR",2305200
"MLI",1997,"LR",5512240
"MOZ",1997,"LR",880000
"MRT",1997,"LR",1353000
"MWI",1997,"LR",598175
"NAM",1997,"LR",2055416
"NER",1997,"LR",4602750
"NGA",1997,"LR",15073000
"NPL",1997,"LR",10387220
"OMN",1997,"LR",258000
"PAK",1997,"LR",41640000
"PSE",1997,"LR",20976
"QAT",1997,"LR",13849
"RWA",1997,"LR",570000
"SAU",1997,"LR",277261
"SEN",1997,"LR",2898000
"SLE",1997,"LR",250000
"SOM",1997,"LR",5600000
"STP",1997,"LR",3900
"SYR",1997,"LR",858445
"TCD",1997,"LR",9813000
"TGO",1997,"LR",271289
"TJK",1997,"LR",1117067
"TKM",1997,"LR",959000
"TUR",1997,"LR",11757370
"TUR2",1997,"LR",363630
"TZA",1997,"LR",13699700
"UGA",1997,"LR",5460000
"UZB",1997,"LR",5102500
"YEM",1997,"LR",1151000
"ZMB",1997,"LR",2700516
"ZWE",1997,"LR",5400000
"AFG",1998,"LR",3008330
"AGO",1998,"LR",3898000
"AllAF",1998,"LR",155222336
"AllAS",1998,"LR",411661025
"AllCA",1998,"LR",18286850
"AllEA",1998,"LR",61359213
"AllME",1998,"LR",10755778
"AllSAARC",1998,"LR",323038318
"AllSADC",1998,"LR",33141799
"AllWA",1998,"LR",42434474
"AllWE",1998,"LR",77866929
"ARE",1998,"LR",84753
"ARM",1998,"LR",466233
"AZE",1998,"LR",1843500
"BDI",1998,"LR",386108
"BEN",1998,"LR",1370780
"BFA",1998,"LR",4611871
"BGD",1998,"LR",22980000
"BHR",1998,"LR",13013
"BTN",1998,"LR",356700
"BWA",1998,"LR",2345000
"CAF",1998,"LR",2992000
"CIV",1998,"LR",1280229
"CMR",1998,"LR",4846000
"COD",1998,"LR",880773
"COG",1998,"LR",72000
"COM",1998,"LR",49500
"CPV",1998,"LR",22400
"DJI",1998,"LR",280000
"EGY",1998,"LR",6366127
"ERI",1998,"LR",2026200
"ETH",1998,"LR",35371768
"GAB",1998,"LR",34000
"GEO",1998,"LR",1050900
"GHA",1998,"LR",1272900
"GIN",1998,"LR",2563460
"GMB",1998,"LR",358712
"GNB",1998,"LR",487360
"GNQ",1998,"LR",4900
"IND",1998,"LR",287739008
"IRN",1998,"LR",9259000
"IRQ",1998,"LR",1400000
"JOR",1998,"LR",56920
"KEN",1998,"LR",11687000
"KGZ",1998,"LR",884800
"KWT",1998,"LR",18481
"LBN",1998,"LR",72183
"LBR",1998,"LR",36000
"LKA",1998,"LR",1494800
"MLI",1998,"LR",5634512
"MOZ",1998,"LR",850000
"MRT",1998,"LR",1394000
"MWI",1998,"LR",715391
"NAM",1998,"LR",2192359
"NER",1998,"LR",4878920
"NGA",1998,"LR",15088100
"NPL",1998,"LR",10467810
"OMN",1998,"LR",271000
"PAK",1998,"LR",42614000
"PSE",1998,"LR",22050
"QAT",1998,"LR",13989
"RWA",1998,"LR",657137
"SAU",1998,"LR",294000
"SEN",1998,"LR",2912000
"SLE",1998,"LR",250000
"SOM",1998,"LR",5300000
"STP",1998,"LR",3950
"SYR",1998,"LR",933262
"TCD",1998,"LR",10334000
"TGO",1998,"LR",273230
"TJK",1998,"LR",1064766
"TKM",1998,"LR",1100000
"TUR",1998,"LR",11037630
"TUR2",1998,"LR",341370
"TZA",1998,"LR",13795600
"UGA",1998,"LR",5651000
"UZB",1998,"LR",5196400
"YEM",1998,"LR",1210000
"ZMB",1998,"LR",2747176
"ZWE",1998,"LR",5668000
"AFG",1999,"LR",3477549
"AGO",1999,"LR",3900000
"AllAF",1999,"LR",162605031
"AllAS",1999,"LR",412209704
"AllCA",1999,"LR",19568950
"AllEA",1999,"LR",62336324
"AllME",1999,"LR",11234517
"AllSAARC",1999,"LR",322202287
"AllSADC",1999,"LR",37413929
"AllWA",1999,"LR",43285828
"AllWE",1999,"LR",78772900
"ARE",1999,"LR",90686
"ARM",1999,"LR",469537
"AZE",1999,"LR",1913244
"BDI",1999,"LR",355416
"BEN",1999,"LR",1438140
"BFA",1999,"LR",4704138
"BGD",1999,"LR",23080000
"BHR",1999,"LR",13000
"BTN",1999,"LR",385989
"BWA",1999,"LR",2581000
"CAF",1999,"LR",3060000
"CIV",1999,"LR",1308030
"CMR",1999,"LR",5500000
"COD",1999,"LR",852812
"COG",1999,"LR",83000
"COM",1999,"LR",50000
"CPV",1999,"LR",22000
"DJI",1999,"LR",297000
"EGY",1999,"LR",6747280
"ERI",1999,"LR",2100000
"ETH",1999,"LR",35095232
"GAB",1999,"LR",35000
"GEO",1999,"LR",1122100
"GHA",1999,"LR",1288000
"GIN",1999,"LR",2696570
"GMB",1999,"LR",361402
"GNB",1999,"LR",499550
"GNQ",1999,"LR",4950
"IND",1999,"LR",286724000
"IRN",1999,"LR",8522320
"IRQ",1999,"LR",1415000
"JOR",1999,"LR",59853
"KEN",1999,"LR",12787700
"KGZ",1999,"LR",910564
"KWT",1999,"LR",19980
"LBN",1999,"LR",75874
"LBR",1999,"LR",36000
"LKA",1999,"LR",1511000
"MLI",1999,"LR",5774818
"MOZ",1999,"LR",800000
"MRT",1999,"LR",1475330
"MWI",1999,"LR",711675
"NAM",1999,"LR",2294040
"NER",1999,"LR",5171650
"NGA",1999,"LR",15103200
"NPL",1999,"LR",10501298
"OMN",1999,"LR",285000
"PAK",1999,"LR",43624000
"PSE",1999,"LR",23858
"QAT",1999,"LR",14726
"RWA",1999,"LR",748976
"SAU",1999,"LR",280513
"SEN",1999,"LR",2927000
"SLE",1999,"LR",200000
"SOM",1999,"LR",5132000
"STP",1999,"LR",4000
"SYR",1999,"LR",980747
"TCD",1999,"LR",10882000
"TGO",1999,"LR",280000
"TJK",1999,"LR",1051386
"TKM",1999,"LR",1250000
"TUR",1999,"LR",10870790
"TUR2",1999,"LR",336210
"TZA",1999,"LR",17250762
"UGA",1999,"LR",5820000
"UZB",1999,"LR",5225200
"YEM",1999,"LR",1228000
"ZMB",1999,"LR",2904880
"ZWE",1999,"LR",6068760
"AFG",2000,"LR",2900000
"AGO",2000,"LR",4042000
"AllAF",2000,"LR",161123411
"AllAS",2000,"LR",412836552
"AllCA",2000,"LR",20602050
"AllEA",2000,"LR",59162245
"AllME",2000,"LR",11688088
"AllSAARC",2000,"LR",321313855
"AllSADC",2000,"LR",37083996
"AllWA",2000,"LR",44275120
"AllWE",2000,"LR",79834609
"ARE",2000,"LR",96050
"ARM",2000,"LR",479166
"AZE",2000,"LR",1961381
"BDI",2000,"LR",358492
"BEN",2000,"LR",1540647
"BFA",2000,"LR",4798223
"BGD",2000,"LR",23200000
"BHR",2000,"LR",11000
"BTN",2000,"LR",357637
